,new_id
CA_BIDMC_1,bi_1
CA_BIDMC_10,bi_10
CA_BIDMC_100,bi_32
CA_BIDMC_101,bi_101
CA_BIDMC_102,bi_102
CA_BIDMC_103,bi_103
CA_BIDMC_104,bi_104
CA_BIDMC_105,bi_105
CA_BIDMC_106,bi_106
CA_BIDMC_107,bi_107
CA_BIDMC_108,bi_108
CA_BIDMC_109,bi_69
CA_BIDMC_11,bi_11
CA_BIDMC_110,bi_110
CA_BIDMC_111,bi_111
CA_BIDMC_112,bi_112
CA_BIDMC_12,bi_12
CA_BIDMC_13,bi_13
CA_BIDMC_14,bi_14
CA_BIDMC_15,bi_15
CA_BIDMC_16,bi_16
CA_BIDMC_17,bi_17
CA_BIDMC_18,bi_18
CA_BIDMC_19,bi_19
CA_BIDMC_2,bi_2
CA_BIDMC_20,bi_20
CA_BIDMC_21,bi_21
CA_BIDMC_22,bi_22
CA_BIDMC_23,bi_23
CA_BIDMC_24,bi_24
CA_BIDMC_25,bi_20
CA_BIDMC_26,bi_26
CA_BIDMC_27,bi_24
CA_BIDMC_28,bi_28
CA_BIDMC_29,bi_29
CA_BIDMC_3,bi_3
CA_BIDMC_30,bi_30
CA_BIDMC_31,bi_31
CA_BIDMC_32,bi_32
CA_BIDMC_33,bi_33
CA_BIDMC_34,bi_34
CA_BIDMC_35,bi_35
CA_BIDMC_36,bi_36
CA_BIDMC_37,bi_37
CA_BIDMC_38,bi_38
CA_BIDMC_39,bi_39
CA_BIDMC_4,bi_4
CA_BIDMC_40,bi_40
CA_BIDMC_41,bi_41
CA_BIDMC_42,bi_42
CA_BIDMC_43,bi_43
CA_BIDMC_44,bi_44
CA_BIDMC_45,bi_45
CA_BIDMC_46,bi_46
CA_BIDMC_47,bi_47
CA_BIDMC_48,bi_48
CA_BIDMC_49,bi_33
CA_BIDMC_5,bi_5
CA_BIDMC_50,bi_50
CA_BIDMC_51,bi_51
CA_BIDMC_52,bi_52
CA_BIDMC_53,bi_53
CA_BIDMC_54,bi_54
CA_BIDMC_55,bi_55
CA_BIDMC_56,bi_56
CA_BIDMC_57,bi_57
CA_BIDMC_58,bi_58
CA_BIDMC_59,bi_59
CA_BIDMC_6,bi_6
